

"","PD04640PD"
"","Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta"
26Mar98,2.817
27Mar98,2.817
30Mar98,2.819
31Mar98,2.81
01Abr98,2.808
02Abr98,2.814
03Abr98,2.816
06Abr98,2.817
07Abr98,2.815
08Abr98,2.815
09Abr98,n.d.
10Abr98,n.d.
13Abr98,2.818
14Abr98,2.822
15Abr98,2.821
16Abr98,2.826
17Abr98,2.823
20Abr98,2.82
21Abr98,2.824
22Abr98,2.828
23Abr98,2.832
24Abr98,2.83
27Abr98,2.831
28Abr98,2.823
29Abr98,2.829
30Abr98,2.828
01May98,n.d.
04May98,2.836
05May98,2.837
06May98,2.84
07May98,2.842
08May98,2.842
11May98,2.844
12May98,2.844
13May98,2.843
14May98,2.842
15May98,2.843
18May98,2.845
19May98,2.846
20May98,2.844
21May98,2.844
22May98,2.844
25May98,2.846
26May98,2.849
27May98,2.856
28May98,2.862
29May98,2.863
01Jun98,2.872
02Jun98,2.87
03Jun98,2.869
04Jun98,2.879
05Jun98,2.891
08Jun98,2.897
09Jun98,2.892
10Jun98,2.896
11Jun98,2.898
12Jun98,2.908
15Jun98,2.924
16Jun98,2.924
17Jun98,2.915
18Jun98,2.911
19Jun98,2.917
22Jun98,2.934
23Jun98,2.935
24Jun98,2.954
25Jun98,2.938
26Jun98,2.93
29Jun98,n.d.
30Jun98,2.931
01Jul98,2.933
02Jul98,2.935
03Jul98,2.926
06Jul98,2.932
07Jul98,2.931
08Jul98,2.929
09Jul98,2.927
10Jul98,2.924
13Jul98,2.922
14Jul98,2.917
15Jul98,2.911
16Jul98,2.915
17Jul98,2.908
20Jul98,2.909
21Jul98,2.912
22Jul98,2.91
23Jul98,2.922
24Jul98,2.92
27Jul98,2.925
28Jul98,n.d.
29Jul98,n.d.
30Jul98,2.93
31Jul98,2.932
03Ago98,2.936
04Ago98,2.939
05Ago98,2.943
06Ago98,2.952
07Ago98,2.954
10Ago98,2.954
11Ago98,2.958
12Ago98,2.962
13Ago98,2.958
14Ago98,2.951
17Ago98,2.952
18Ago98,2.951
19Ago98,2.947
20Ago98,2.953
21Ago98,2.969
24Ago98,2.971
25Ago98,2.966
26Ago98,2.979
27Ago98,3.006
28Ago98,3.018
31Ago98,3.023
01Set98,3.051
02Set98,3.039
03Set98,3.057
04Set98,3.054
07Set98,3.052
08Set98,3.057
09Set98,3.055
10Set98,3.069
11Set98,3.067
14Set98,3.054
15Set98,3.033
16Set98,3.03
17Set98,3.046
18Set98,3.021
21Set98,3.033
22Set98,3.027
23Set98,3.03
24Set98,3.037
25Set98,3.041
28Set98,3.048
29Set98,3.05
30Set98,3.04
01Oct98,3.062
02Oct98,3.045
05Oct98,3.043
06Oct98,3.039
07Oct98,3.043
08Oct98,n.d.
09Oct98,3.055
12Oct98,3.061
13Oct98,3.057
14Oct98,3.054
15Oct98,3.044
16Oct98,3.048
19Oct98,3.044
20Oct98,3.041
21Oct98,3.047
22Oct98,3.049
23Oct98,3.051
26Oct98,n.d.
27Oct98,3.059
28Oct98,3.065
29Oct98,3.077
30Oct98,3.072
02Nov98,3.08
03Nov98,3.09
04Nov98,3.081
05Nov98,3.084
06Nov98,3.082
09Nov98,3.088
10Nov98,3.095
11Nov98,3.093
12Nov98,3.095
13Nov98,3.096
16Nov98,3.096
17Nov98,3.092
18Nov98,3.09
19Nov98,3.094
20Nov98,3.094
23Nov98,3.095
24Nov98,3.107
25Nov98,3.114
26Nov98,3.118
27Nov98,3.123
30Nov98,3.114
01Dic98,3.126
02Dic98,3.13
03Dic98,3.149
04Dic98,3.147
07Dic98,3.138
08Dic98,n.d.
09Dic98,3.134
10Dic98,3.145
11Dic98,3.146
14Dic98,3.14
15Dic98,3.134
16Dic98,3.133
17Dic98,3.134
18Dic98,3.13
21Dic98,3.13
22Dic98,3.137
23Dic98,3.131
24Dic98,3.131
25Dic98,n.d.
28Dic98,3.14
29Dic98,3.149
30Dic98,3.157
31Dic98,3.159
01Ene99,n.d.
04Ene99,3.162
05Ene99,3.171
06Ene99,3.182
07Ene99,3.187
08Ene99,3.195
11Ene99,3.197
12Ene99,3.202
13Ene99,3.251
14Ene99,3.289
15Ene99,3.291
18Ene99,3.244
19Ene99,3.252
20Ene99,3.253
21Ene99,3.269
22Ene99,3.28
25Ene99,3.298
26Ene99,3.326
27Ene99,3.332
28Ene99,3.341
29Ene99,3.358
01Feb99,3.372
02Feb99,3.376
03Feb99,3.397
04Feb99,3.394
05Feb99,3.39
08Feb99,3.39
09Feb99,3.393
10Feb99,3.383
11Feb99,3.391
12Feb99,3.399
15Feb99,3.391
16Feb99,3.381
17Feb99,3.385
18Feb99,3.389
19Feb99,3.395
22Feb99,3.409
23Feb99,3.424
24Feb99,3.424
25Feb99,3.444
26Feb99,3.443
01Mar99,3.417
02Mar99,3.396
03Mar99,3.396
04Mar99,3.405
05Mar99,3.412
08Mar99,3.415
09Mar99,3.406
10Mar99,3.404
11Mar99,3.398
12Mar99,3.376
15Mar99,3.355
16Mar99,3.354
17Mar99,3.376
18Mar99,3.357
19Mar99,3.352
22Mar99,3.365
23Mar99,3.389
24Mar99,3.396
25Mar99,3.385
26Mar99,3.378
29Mar99,3.363
30Mar99,3.348
31Mar99,3.338
01Abr99,n.d.
02Abr99,n.d.
05Abr99,3.349
06Abr99,3.356
07Abr99,3.37
08Abr99,3.368
09Abr99,3.364
12Abr99,3.364
13Abr99,3.361
14Abr99,3.347
15Abr99,3.349
16Abr99,3.351
19Abr99,3.346
20Abr99,3.343
21Abr99,3.348
22Abr99,3.349
23Abr99,3.348
26Abr99,3.352
27Abr99,3.346
28Abr99,3.336
29Abr99,3.346
30Abr99,3.34
03May99,3.335
04May99,3.329
05May99,3.333
06May99,3.339
07May99,3.342
10May99,3.337
11May99,3.327
12May99,3.329
13May99,3.324
14May99,3.327
17May99,3.331
18May99,3.324
19May99,3.328
20May99,3.326
21May99,3.333
24May99,3.339
25May99,3.356
26May99,3.344
27May99,3.334
28May99,3.332
31May99,3.336
01Jun99,3.336
02Jun99,3.339
03Jun99,3.337
04Jun99,3.339
07Jun99,3.339
08Jun99,3.344
09Jun99,3.347
10Jun99,3.35
11Jun99,3.347
14Jun99,3.342
15Jun99,3.339
16Jun99,3.337
17Jun99,3.334
18Jun99,3.336
21Jun99,3.34
22Jun99,3.338
23Jun99,3.34
24Jun99,3.343
25Jun99,3.341
28Jun99,3.342
29Jun99,n.d.
30Jun99,3.337
01Jul99,3.338
02Jul99,3.331
05Jul99,3.328
06Jul99,3.325
07Jul99,3.327
08Jul99,3.322
09Jul99,3.323
12Jul99,3.325
13Jul99,3.329
14Jul99,3.322
15Jul99,3.317
16Jul99,3.315
19Jul99,3.315
20Jul99,3.319
21Jul99,3.318
22Jul99,3.324
23Jul99,3.323
26Jul99,3.333
27Jul99,3.332
28Jul99,n.d.
29Jul99,n.d.
30Jul99,3.338
02Ago99,3.339
03Ago99,3.353
04Ago99,3.349
05Ago99,3.355
06Ago99,3.359
09Ago99,3.368
10Ago99,3.385
11Ago99,3.372
12Ago99,3.361
13Ago99,3.361
16Ago99,3.362
17Ago99,3.361
18Ago99,3.37
19Ago99,3.369
20Ago99,3.369
23Ago99,3.357
24Ago99,3.364
25Ago99,3.368
26Ago99,3.371
27Ago99,3.374
30Ago99,n.d.
31Ago99,3.385
01Set99,3.389
02Set99,3.402
03Set99,3.399
06Set99,3.396
07Set99,3.415
08Set99,3.416
09Set99,3.411
10Set99,3.404
13Set99,3.398
14Set99,3.406
15Set99,3.408
16Set99,3.417
17Set99,3.416
20Set99,3.421
21Set99,3.423
22Set99,3.423
23Set99,3.432
24Set99,3.44
27Set99,3.449
28Set99,3.466
29Set99,3.461
30Set99,3.463
01Oct99,3.468
04Oct99,3.474
05Oct99,3.476
06Oct99,3.47
07Oct99,3.462
08Oct99,n.d.
11Oct99,3.46
12Oct99,3.465
13Oct99,3.469
14Oct99,3.476
15Oct99,3.481
18Oct99,3.476
19Oct99,3.475
20Oct99,3.477
21Oct99,3.472
22Oct99,3.468
25Oct99,3.476
26Oct99,3.473
27Oct99,3.485
28Oct99,3.489
29Oct99,3.493
01Nov99,n.d.
02Nov99,3.489
03Nov99,3.489
04Nov99,3.493
05Nov99,3.491
08Nov99,3.488
09Nov99,3.485
10Nov99,3.486
11Nov99,3.479
12Nov99,3.475
15Nov99,3.469
16Nov99,3.472
17Nov99,3.478
18Nov99,3.473
19Nov99,3.469
22Nov99,3.478
23Nov99,3.484
24Nov99,3.489
25Nov99,3.494
26Nov99,3.492
29Nov99,3.493
30Nov99,3.49
01Dic99,3.491
02Dic99,3.485
03Dic99,3.481
06Dic99,3.476
07Dic99,3.479
08Dic99,n.d.
09Dic99,3.472
10Dic99,3.47
13Dic99,3.47
14Dic99,3.469
15Dic99,3.464
16Dic99,3.472
17Dic99,3.471
20Dic99,3.484
21Dic99,3.491
22Dic99,3.491
23Dic99,3.491
24Dic99,3.498
27Dic99,3.502
28Dic99,3.504
29Dic99,3.507
30Dic99,3.511
31Dic99,3.51
03Ene00,3.516
04Ene00,3.527
05Ene00,3.52
06Ene00,3.508
07Ene00,3.513
10Ene00,3.511
11Ene00,3.508
12Ene00,3.509
13Ene00,3.507
14Ene00,3.494
17Ene00,3.487
18Ene00,3.492
19Ene00,3.498
20Ene00,3.505
21Ene00,3.5
24Ene00,3.497
25Ene00,3.493
26Ene00,3.495
27Ene00,3.481
28Ene00,3.48
31Ene00,3.492
01Feb00,3.472
02Feb00,3.474
03Feb00,3.472
04Feb00,3.479
07Feb00,3.475
08Feb00,3.463
09Feb00,3.451
10Feb00,3.445
11Feb00,3.447
14Feb00,3.439
15Feb00,3.431
16Feb00,3.443
17Feb00,3.437
18Feb00,3.445
21Feb00,3.46
22Feb00,3.465
23Feb00,3.46
24Feb00,3.469
25Feb00,3.47
28Feb00,3.462
29Feb00,3.453
01Mar00,3.421
02Mar00,3.413
03Mar00,3.406
06Mar00,3.413
07Mar00,3.413
08Mar00,3.402
09Mar00,3.404
10Mar00,3.42
13Mar00,3.425
14Mar00,3.418
15Mar00,3.422
16Mar00,3.436
17Mar00,3.435
20Mar00,3.448
21Mar00,3.454
22Mar00,3.469
23Mar00,3.49
24Mar00,3.504
27Mar00,3.508
28Mar00,3.477
29Mar00,3.478
30Mar00,3.489
31Mar00,3.488
03Abr00,3.476
04Abr00,3.478
05Abr00,3.478
06Abr00,3.49
07Abr00,3.512
10Abr00,3.485
11Abr00,3.491
12Abr00,3.484
13Abr00,3.463
14Abr00,3.47
17Abr00,3.476
18Abr00,3.475
19Abr00,3.469
20Abr00,n.d.
21Abr00,n.d.
24Abr00,3.48
25Abr00,3.478
26Abr00,3.487
27Abr00,3.482
28Abr00,3.479
01May00,n.d.
02May00,3.478
03May00,3.488
04May00,3.488
05May00,3.492
08May00,3.502
09May00,3.507
10May00,3.513
11May00,3.503
12May00,3.499
15May00,3.503
16May00,3.504
17May00,3.503
18May00,3.503
19May00,3.512
22May00,3.513
23May00,3.518
24May00,3.512
25May00,3.513
26May00,3.525
29May00,3.512
30May00,3.518
31May00,3.507
01Jun00,3.494
02Jun00,3.49
05Jun00,3.491
06Jun00,3.49
07Jun00,3.486
08Jun00,3.488
09Jun00,3.481
12Jun00,3.482
13Jun00,3.486
14Jun00,3.482
15Jun00,3.48
16Jun00,3.48
19Jun00,3.484
20Jun00,3.487
21Jun00,3.491
22Jun00,3.493
23Jun00,3.495
26Jun00,3.499
27Jun00,3.499
28Jun00,3.493
29Jun00,n.d.
30Jun00,3.492
03Jul00,3.485
04Jul00,3.484
05Jul00,3.487
06Jul00,3.485
07Jul00,3.484
10Jul00,3.484
11Jul00,3.481
12Jul00,3.481
13Jul00,3.484
14Jul00,3.483
17Jul00,3.479
18Jul00,3.48
19Jul00,3.482
20Jul00,3.482
21Jul00,3.483
24Jul00,3.483
25Jul00,3.48
26Jul00,3.477
27Jul00,3.479
28Jul00,n.d.
31Jul00,3.476
01Ago00,3.475
02Ago00,3.481
03Ago00,3.483
04Ago00,3.486
07Ago00,3.485
08Ago00,3.48
09Ago00,3.483
10Ago00,3.483
11Ago00,3.486
14Ago00,3.486
15Ago00,3.479
16Ago00,3.478
17Ago00,3.472
18Ago00,3.471
21Ago00,3.478
22Ago00,3.476
23Ago00,3.476
24Ago00,3.478
25Ago00,3.477
28Ago00,3.476
29Ago00,3.476
30Ago00,n.d.
31Ago00,3.474
01Set00,3.472
04Set00,3.473
05Set00,3.475
06Set00,3.472
07Set00,3.473
08Set00,3.475
11Set00,3.475
12Set00,3.474
13Set00,3.473
14Set00,3.472
15Set00,3.474
18Set00,3.5
19Set00,3.499
20Set00,3.513
21Set00,3.491
22Set00,3.492
25Set00,3.489
26Set00,3.492
27Set00,3.498
28Set00,3.519
29Set00,3.51
02Oct00,3.495
03Oct00,3.491
04Oct00,3.497
05Oct00,3.504
06Oct00,3.503
09Oct00,3.501
10Oct00,3.5
11Oct00,3.502
12Oct00,3.496
13Oct00,3.492
16Oct00,3.488
17Oct00,3.493
18Oct00,3.498
19Oct00,3.493
20Oct00,3.495
23Oct00,3.509
24Oct00,3.51
25Oct00,3.51
26Oct00,3.51
27Oct00,3.515
30Oct00,3.522
31Oct00,3.515
01Nov00,n.d.
02Nov00,3.506
03Nov00,3.507
06Nov00,3.516
07Nov00,3.524
08Nov00,3.526
09Nov00,3.537
10Nov00,3.528
13Nov00,3.536
14Nov00,3.535
15Nov00,3.529
16Nov00,3.532
17Nov00,3.536
20Nov00,3.548
21Nov00,3.545
22Nov00,3.54
23Nov00,3.529
24Nov00,3.529
27Nov00,3.529
28Nov00,3.533
29Nov00,3.532
30Nov00,3.531
01Dic00,3.528
04Dic00,3.524
05Dic00,3.526
06Dic00,3.529
07Dic00,3.525
08Dic00,n.d.
11Dic00,3.524
12Dic00,3.526
13Dic00,3.525
14Dic00,3.521
15Dic00,3.505
18Dic00,3.506
19Dic00,3.505
20Dic00,3.514
21Dic00,3.515
22Dic00,3.516
25Dic00,n.d.
26Dic00,3.518
27Dic00,3.533
28Dic00,3.534
29Dic00,3.527
01Ene01,n.d.
02Ene01,3.523
03Ene01,3.521
04Ene01,3.52
05Ene01,3.518
08Ene01,3.517
09Ene01,3.518
10Ene01,3.519
11Ene01,3.517
12Ene01,3.521
15Ene01,3.522
16Ene01,3.521
17Ene01,3.519
18Ene01,3.52
19Ene01,3.522
22Ene01,3.523
23Ene01,3.527
24Ene01,3.531
25Ene01,3.528
26Ene01,3.532
29Ene01,3.538
30Ene01,3.536
31Ene01,3.536
01Feb01,3.532
02Feb01,3.531
05Feb01,3.532
06Feb01,3.53
07Feb01,3.532
08Feb01,3.533
09Feb01,3.53
12Feb01,3.532
13Feb01,3.533
14Feb01,3.531
15Feb01,3.53
16Feb01,3.527
19Feb01,3.526
20Feb01,3.526
21Feb01,3.528
22Feb01,3.529
23Feb01,3.532
26Feb01,3.527
27Feb01,3.526
28Feb01,3.524
01Mar01,3.522
02Mar01,3.52
05Mar01,3.518
06Mar01,3.517
07Mar01,3.516
08Mar01,3.518
09Mar01,3.519
12Mar01,3.518
13Mar01,3.518
14Mar01,3.518
15Mar01,3.519
16Mar01,3.523
19Mar01,3.523
20Mar01,3.522
21Mar01,3.524
22Mar01,3.525
23Mar01,3.526
26Mar01,3.522
27Mar01,3.521
28Mar01,3.522
29Mar01,3.522
30Mar01,3.525
02Abr01,3.525
03Abr01,3.526
04Abr01,3.526
05Abr01,3.527
06Abr01,3.532
09Abr01,3.54
10Abr01,3.544
11Abr01,3.543
12Abr01,n.d.
13Abr01,n.d.
16Abr01,3.546
17Abr01,3.561
18Abr01,3.572
19Abr01,3.576
20Abr01,3.581
23Abr01,3.588
24Abr01,3.592
25Abr01,3.593
26Abr01,3.593
27Abr01,3.593
30Abr01,3.589
01May01,n.d.
02May01,3.589
03May01,3.597
04May01,3.6
07May01,3.596
08May01,3.604
09May01,3.613
10May01,3.609
11May01,3.604
14May01,3.603
15May01,3.6
16May01,3.602
17May01,3.599
18May01,3.601
21May01,3.596
22May01,3.587
23May01,3.589
24May01,3.59
25May01,3.593
28May01,3.61
29May01,3.615
30May01,3.616
31May01,3.623
01Jun01,3.631
04Jun01,3.576
05Jun01,3.559
06Jun01,3.554
07Jun01,3.534
08Jun01,3.5323
11Jun01,3.518
12Jun01,3.522
13Jun01,3.516
14Jun01,3.513
15Jun01,3.515
18Jun01,3.527
19Jun01,3.524
20Jun01,3.519
21Jun01,3.52
22Jun01,3.521
25Jun01,3.522
26Jun01,3.523
27Jun01,3.519
28Jun01,3.514
29Jun01,n.d.
02Jul01,3.515
03Jul01,3.514
04Jul01,3.518
05Jul01,3.518
06Jul01,3.52
09Jul01,3.512
10Jul01,3.51
11Jul01,3.512
12Jul01,3.516
13Jul01,3.51
16Jul01,3.509
17Jul01,3.506
18Jul01,3.498
19Jul01,3.495
20Jul01,3.494
23Jul01,3.497
24Jul01,3.499
25Jul01,3.497
26Jul01,3.489
27Jul01,3.487
30Jul01,n.d.
31Jul01,3.488
01Ago01,3.496
02Ago01,3.501
03Ago01,3.498
06Ago01,3.501
07Ago01,3.501
08Ago01,3.495
09Ago01,3.493
10Ago01,3.493
13Ago01,3.494
14Ago01,3.493
15Ago01,3.491
16Ago01,3.492
17Ago01,3.492
20Ago01,3.496
21Ago01,3.499
22Ago01,3.489
23Ago01,3.49
24Ago01,3.49
27Ago01,3.491
28Ago01,3.488
29Ago01,3.484
30Ago01,n.d.
31Ago01,3.483
03Set01,3.479
04Set01,3.481
05Set01,3.484
06Set01,3.483
07Set01,3.483
10Set01,3.483
11Set01,3.494
12Set01,3.491
13Set01,3.496
14Set01,3.502
17Set01,3.503
18Set01,3.501
19Set01,3.501
20Set01,3.502
21Set01,3.502
24Set01,3.494
25Set01,3.49
26Set01,3.485
27Set01,3.485
28Set01,3.484
01Oct01,3.482
02Oct01,3.481
03Oct01,3.479
04Oct01,3.478
05Oct01,3.479
08Oct01,n.d.
09Oct01,3.48
10Oct01,3.477
11Oct01,3.471
12Oct01,3.463
15Oct01,3.452
16Oct01,3.451
17Oct01,3.453
18Oct01,3.45
19Oct01,3.451
22Oct01,3.45
23Oct01,3.453
24Oct01,3.454
25Oct01,3.455
26Oct01,3.452
29Oct01,3.451
30Oct01,3.446
31Oct01,3.443
01Nov01,n.d.
02Nov01,n.d.
05Nov01,3.44
06Nov01,3.444
07Nov01,3.449
08Nov01,3.448
09Nov01,3.448
12Nov01,3.45
13Nov01,3.444
14Nov01,3.444
15Nov01,3.44
16Nov01,3.44
19Nov01,3.438
20Nov01,3.435
21Nov01,3.436
22Nov01,3.439
23Nov01,3.437
26Nov01,3.438
27Nov01,3.438
28Nov01,3.436
29Nov01,3.435
30Nov01,3.435
03Dic01,3.434
04Dic01,3.434
05Dic01,3.431
06Dic01,3.43
07Dic01,3.431
10Dic01,3.43
11Dic01,3.43
12Dic01,3.432
13Dic01,3.431
14Dic01,3.432
17Dic01,3.433
18Dic01,3.437
19Dic01,3.439
20Dic01,3.446
21Dic01,3.445
24Dic01,3.443
25Dic01,n.d.
26Dic01,3.445
27Dic01,3.441
28Dic01,3.4415
31Dic01,3.446
01Ene02,n.d.
02Ene02,3.443
03Ene02,3.441
04Ene02,3.443
07Ene02,3.444
08Ene02,3.447
09Ene02,3.457
10Ene02,3.479
11Ene02,3.477
14Ene02,3.473
15Ene02,3.459
16Ene02,3.459
17Ene02,3.457
18Ene02,3.46
21Ene02,3.462
22Ene02,3.463
23Ene02,3.463
24Ene02,3.462
25Ene02,3.464
28Ene02,3.467
29Ene02,3.467
30Ene02,3.476
31Ene02,3.478
01Feb02,3.478
04Feb02,3.483
05Feb02,3.485
06Feb02,3.487
07Feb02,3.484
08Feb02,3.486
11Feb02,3.485
12Feb02,3.476
13Feb02,3.475
14Feb02,3.475
15Feb02,3.471
18Feb02,3.469
19Feb02,3.472
20Feb02,3.473
21Feb02,3.475
22Feb02,3.48
25Feb02,3.479
26Feb02,3.476
27Feb02,3.474
28Feb02,3.471
01Mar02,3.471
04Mar02,3.471
05Mar02,3.464
06Mar02,3.46
07Mar02,3.46
08Mar02,3.455
11Mar02,3.457
12Mar02,3.454
13Mar02,3.453
14Mar02,3.451
15Mar02,3.455
18Mar02,3.455
19Mar02,3.456
20Mar02,3.456
21Mar02,3.459
22Mar02,3.455
25Mar02,3.453
26Mar02,3.453
27Mar02,3.446
28Mar02,n.d.
29Mar02,n.d.
01Abr02,3.447
