

"","PD04640PD"
"","Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta"
10Jun02,3.47
11Jun02,3.468
12Jun02,3.47
13Jun02,3.466
14Jun02,3.464
17Jun02,3.465
18Jun02,3.467
19Jun02,3.474
20Jun02,3.485
21Jun02,3.507
24Jun02,3.51
25Jun02,3.5
26Jun02,3.511
27Jun02,3.508
28Jun02,3.511
01Jul02,3.512
02Jul02,3.518
03Jul02,3.525
04Jul02,3.524
05Jul02,3.536
08Jul02,3.54
09Jul02,3.536
10Jul02,3.546
11Jul02,3.552
12Jul02,3.546
15Jul02,3.54
16Jul02,3.532
17Jul02,3.537
18Jul02,3.537
19Jul02,3.532
22Jul02,3.521
23Jul02,3.526
24Jul02,3.536
25Jul02,3.543
26Jul02,3.537
29Jul02,n.d.
30Jul02,n.d.
31Jul02,3.55
01Ago02,3.557
02Ago02,3.544
05Ago02,3.546
06Ago02,3.557
07Ago02,3.554
08Ago02,3.537
09Ago02,3.548
12Ago02,3.566
13Ago02,3.574
14Ago02,3.57
15Ago02,3.565
16Ago02,3.563
19Ago02,3.561
20Ago02,3.569
21Ago02,3.575
22Ago02,3.592
23Ago02,3.594
26Ago02,3.595
27Ago02,3.602
28Ago02,3.612
29Ago02,3.615
30Ago02,n.d.
02Set02,3.613
03Set02,3.629
04Set02,3.643
05Set02,3.652
06Set02,3.638
09Set02,3.617
10Set02,3.612
11Set02,3.609
12Set02,3.589
13Set02,3.567
16Set02,3.589
17Set02,3.598
18Set02,3.6
19Set02,3.609
20Set02,3.626
23Set02,3.631
24Set02,3.633
25Set02,3.638
26Set02,3.639
27Set02,3.647
30Set02,3.644
01Oct02,3.628
02Oct02,3.628
03Oct02,3.634
04Oct02,3.6318
07Oct02,n.d.
08Oct02,n.d.
09Oct02,3.624
10Oct02,3.62
11Oct02,3.616
14Oct02,3.616
15Oct02,3.628
16Oct02,3.63
17Oct02,3.626
18Oct02,3.616
21Oct02,3.621
22Oct02,3.621
23Oct02,3.61
24Oct02,3.603
25Oct02,3.591
28Oct02,3.59
29Oct02,3.601
30Oct02,3.608
31Oct02,3.602
01Nov02,n.d.
04Nov02,3.601
05Nov02,3.606
06Nov02,3.616
07Nov02,3.614
08Nov02,3.61
11Nov02,3.603
12Nov02,3.601
13Nov02,3.599
14Nov02,3.601
15Nov02,3.602
18Nov02,3.593
19Nov02,3.587
20Nov02,3.585
21Nov02,3.58
22Nov02,3.577
25Nov02,3.575
26Nov02,3.555
27Nov02,3.546
28Nov02,3.526
29Nov02,3.51
02Dic02,3.517
03Dic02,3.544
04Dic02,3.552
05Dic02,3.537
06Dic02,3.527
09Dic02,3.52
10Dic02,3.521
11Dic02,3.517
12Dic02,3.506
13Dic02,3.501
16Dic02,3.492
17Dic02,3.497
18Dic02,3.499
19Dic02,3.51
20Dic02,3.514
23Dic02,3.502
24Dic02,3.5
25Dic02,n.d.
26Dic02,3.511
27Dic02,3.522
30Dic02,3.517
31Dic02,3.515
01Ene03,n.d.
02Ene03,3.509
03Ene03,3.5
06Ene03,3.502
07Ene03,3.498
08Ene03,3.493
09Ene03,3.49
10Ene03,3.494
13Ene03,3.49
14Ene03,3.487
15Ene03,3.485
16Ene03,3.486
17Ene03,3.488
20Ene03,3.492
21Ene03,3.497
22Ene03,3.504
23Ene03,3.5
24Ene03,3.498
27Ene03,3.499
28Ene03,3.498
29Ene03,3.5
30Ene03,3.491
31Ene03,3.484
03Feb03,3.483
04Feb03,3.491
05Feb03,3.494
06Feb03,3.49
07Feb03,3.491
10Feb03,3.489
11Feb03,3.484
12Feb03,3.484
13Feb03,3.49
14Feb03,3.485
17Feb03,3.482
18Feb03,3.48
19Feb03,3.482
20Feb03,3.481
21Feb03,3.481
24Feb03,3.48
25Feb03,3.483
26Feb03,3.482
27Feb03,3.481
28Feb03,3.481
03Mar03,3.478
04Mar03,3.476
05Mar03,3.476
06Mar03,3.478
07Mar03,3.481
10Mar03,3.484
11Mar03,3.481
12Mar03,3.48
13Mar03,3.479
14Mar03,3.478
17Mar03,3.48
18Mar03,3.482
19Mar03,3.485
20Mar03,3.488
21Mar03,3.484
24Mar03,3.481
25Mar03,3.479
26Mar03,3.479
27Mar03,3.479
28Mar03,3.4777
31Mar03,3.475
01Abr03,3.475
02Abr03,3.472
03Abr03,3.472
04Abr03,3.473
07Abr03,3.469
08Abr03,3.467
09Abr03,3.468
10Abr03,3.467
11Abr03,3.465
14Abr03,3.461
15Abr03,3.463
16Abr03,3.46
17Abr03,n.d.
18Abr03,n.d.
21Abr03,3.46
22Abr03,3.458
23Abr03,3.462
24Abr03,3.462
25Abr03,3.465
28Abr03,3.466
29Abr03,3.461
30Abr03,3.463
01May03,n.d.
02May03,3.465
05May03,3.468
06May03,3.473
07May03,3.474
08May03,3.474
09May03,3.475
12May03,3.474
13May03,3.476
14May03,3.475
15May03,3.475
16May03,3.475
19May03,3.483
20May03,3.489
21May03,3.49
22May03,3.491
23May03,3.491
26May03,3.49
27May03,3.492
28May03,3.5
29May03,3.496
30May03,3.496
02Jun03,3.493
03Jun03,3.494
04Jun03,3.489
05Jun03,3.484
06Jun03,3.483
09Jun03,3.484
10Jun03,3.488
11Jun03,3.485
12Jun03,3.481
13Jun03,3.474
16Jun03,3.471
17Jun03,3.472
18Jun03,3.473
19Jun03,3.472
20Jun03,3.471
23Jun03,3.475
24Jun03,3.476
25Jun03,3.48
26Jun03,3.477
27Jun03,3.477
30Jun03,3.472
01Jul03,3.473
02Jul03,3.471
03Jul03,3.469
04Jul03,3.47
07Jul03,3.471
08Jul03,3.475
09Jul03,3.473
10Jul03,3.474
11Jul03,3.474
14Jul03,3.471
15Jul03,3.471
16Jul03,3.471
17Jul03,3.47
18Jul03,3.471
21Jul03,3.472
22Jul03,3.472
23Jul03,3.472
24Jul03,3.473
25Jul03,3.474
28Jul03,n.d.
29Jul03,n.d.
30Jul03,3.472
31Jul03,3.473
01Ago03,3.474
04Ago03,3.475
05Ago03,3.477
06Ago03,3.481
07Ago03,3.481
08Ago03,3.486
11Ago03,3.482
12Ago03,3.484
13Ago03,3.486
14Ago03,3.482
15Ago03,3.479
18Ago03,3.481
19Ago03,3.482
20Ago03,3.481
21Ago03,3.482
22Ago03,3.482
25Ago03,3.481
26Ago03,3.481
27Ago03,3.48
28Ago03,3.481
29Ago03,3.481
01Set03,3.482
02Set03,3.482
03Set03,3.485
04Set03,3.485
05Set03,3.485
08Set03,3.483
09Set03,3.482
10Set03,3.48
11Set03,3.479
12Set03,3.48
15Set03,3.478
16Set03,3.478
17Set03,3.479
18Set03,3.478
19Set03,3.479
22Set03,3.48
23Set03,3.483
24Set03,3.483
25Set03,3.484
26Set03,3.483
29Set03,3.484
30Set03,3.483
01Oct03,3.485
02Oct03,3.483
03Oct03,3.482
06Oct03,3.481
07Oct03,3.481
08Oct03,n.d.
09Oct03,3.482
10Oct03,3.482
13Oct03,3.479
14Oct03,3.479
15Oct03,3.48
16Oct03,3.479
17Oct03,3.48
20Oct03,3.479
21Oct03,3.48
22Oct03,3.478
23Oct03,3.477
24Oct03,3.475
27Oct03,3.476
28Oct03,3.477
29Oct03,3.475
30Oct03,3.472
31Oct03,3.473
03Nov03,3.474
04Nov03,3.475
05Nov03,3.475
06Nov03,3.479
07Nov03,3.481
10Nov03,3.48
11Nov03,3.48
12Nov03,3.478
13Nov03,3.478
14Nov03,3.475
17Nov03,3.476
18Nov03,3.477
19Nov03,3.48
20Nov03,3.481
21Nov03,3.479
24Nov03,3.479
25Nov03,3.479
26Nov03,3.482
27Nov03,3.48
28Nov03,3.481
01Dic03,3.48
02Dic03,3.478
03Dic03,3.479
04Dic03,3.478
05Dic03,3.477
08Dic03,n.d.
09Dic03,3.478
10Dic03,3.478
11Dic03,3.475
12Dic03,3.475
15Dic03,3.475
16Dic03,3.475
17Dic03,3.472
18Dic03,3.471
19Dic03,3.467
22Dic03,3.463
23Dic03,3.464
24Dic03,3.464
25Dic03,n.d.
26Dic03,3.466
29Dic03,3.469
30Dic03,3.467
31Dic03,3.464
01Ene04,n.d.
02Ene04,3.463
05Ene04,3.464
06Ene04,3.462
07Ene04,3.461
08Ene04,3.458
09Ene04,3.457
12Ene04,3.458
13Ene04,3.461
14Ene04,3.459
15Ene04,3.455
16Ene04,3.453
19Ene04,3.458
20Ene04,3.461
21Ene04,3.464
22Ene04,3.472
23Ene04,3.475
26Ene04,3.474
27Ene04,3.483
28Ene04,3.485
29Ene04,3.499
30Ene04,3.5
02Feb04,3.506
03Feb04,3.497
04Feb04,3.493
05Feb04,3.493
06Feb04,3.492
09Feb04,3.49
10Feb04,3.486
11Feb04,3.488
12Feb04,3.49
13Feb04,3.492
16Feb04,3.483
17Feb04,3.477
18Feb04,3.474
19Feb04,3.473
20Feb04,3.475
23Feb04,3.477
24Feb04,3.474
25Feb04,3.475
26Feb04,3.475
27Feb04,3.473
01Mar04,3.473
02Mar04,3.474
03Mar04,3.476
04Mar04,3.475
05Mar04,3.474
08Mar04,3.472
09Mar04,3.467
10Mar04,3.466
11Mar04,3.467
12Mar04,3.463
15Mar04,3.462
16Mar04,3.464
17Mar04,3.466
18Mar04,3.466
19Mar04,3.463
22Mar04,3.461
23Mar04,3.459
24Mar04,3.461
25Mar04,3.462
26Mar04,3.462
29Mar04,3.461
30Mar04,3.461
31Mar04,3.461
01Abr04,3.461
02Abr04,3.458
05Abr04,3.458
06Abr04,3.459
07Abr04,3.462
08Abr04,n.d.
09Abr04,n.d.
12Abr04,3.463
13Abr04,3.464
14Abr04,3.467
15Abr04,3.467
16Abr04,3.466
19Abr04,3.466
20Abr04,3.469
21Abr04,3.47
22Abr04,3.473
23Abr04,3.479
26Abr04,3.484
27Abr04,3.485
28Abr04,3.484
29Abr04,3.487
30Abr04,3.484
03May04,3.487
04May04,3.484
05May04,3.483
06May04,3.486
07May04,3.491
10May04,3.493
11May04,3.488
12May04,3.487
13May04,3.488
14May04,3.484
17May04,3.484
18May04,3.484
19May04,3.484
20May04,3.491
21May04,3.489
24May04,3.495
25May04,3.493
26May04,3.491
27May04,3.489
28May04,3.489
31May04,3.489
01Jun04,3.49
02Jun04,3.488
03Jun04,3.487
04Jun04,3.487
07Jun04,3.486
08Jun04,3.482
09Jun04,3.477
10Jun04,3.479
11Jun04,3.478
14Jun04,3.482
15Jun04,3.478
16Jun04,3.476
17Jun04,3.475
18Jun04,3.473
21Jun04,3.473
22Jun04,3.472
23Jun04,3.47
24Jun04,3.47
25Jun04,3.469
28Jun04,3.471
29Jun04,n.d.
30Jun04,3.472
01Jul04,3.471
02Jul04,3.469
05Jul04,3.469
06Jul04,3.467
07Jul04,3.464
08Jul04,3.462
09Jul04,3.456
12Jul04,3.446
13Jul04,3.436
14Jul04,3.441
15Jul04,3.437
16Jul04,3.435
19Jul04,3.425
20Jul04,3.421
21Jul04,3.426
22Jul04,3.424
23Jul04,3.42
26Jul04,3.425
27Jul04,3.428
28Jul04,n.d.
29Jul04,n.d.
30Jul04,3.422
02Ago04,3.415
03Ago04,3.409
04Ago04,3.421
05Ago04,3.417
06Ago04,3.413
09Ago04,3.409
10Ago04,3.41
11Ago04,3.408
12Ago04,3.409
13Ago04,3.409
16Ago04,3.41
17Ago04,3.406
18Ago04,3.389
19Ago04,3.381
20Ago04,3.381
23Ago04,3.382
24Ago04,3.383
25Ago04,3.38
26Ago04,3.368
27Ago04,3.364
30Ago04,n.d.
31Ago04,3.358
01Set04,3.368
02Set04,3.372
03Set04,3.382
06Set04,3.382
07Set04,3.375
08Set04,3.367
09Set04,3.367
10Set04,3.369
13Set04,3.361
14Set04,3.353
15Set04,3.35
16Set04,3.349
17Set04,3.351
20Set04,3.351
21Set04,3.351
22Set04,3.353
23Set04,3.348
24Set04,3.348
27Set04,3.352
28Set04,3.349
29Set04,3.345
30Set04,3.342
01Oct04,3.338
04Oct04,3.34
05Oct04,3.337
06Oct04,3.333
07Oct04,3.328
08Oct04,n.d.
11Oct04,3.313
12Oct04,3.31
13Oct04,3.313
14Oct04,3.325
15Oct04,3.322
18Oct04,3.314
19Oct04,3.318
20Oct04,3.318
21Oct04,3.313
22Oct04,3.31
25Oct04,3.314
26Oct04,3.324
27Oct04,3.321
28Oct04,3.325
29Oct04,3.325
01Nov04,n.d.
02Nov04,3.324
03Nov04,3.317
04Nov04,3.314
05Nov04,3.312
08Nov04,3.314
09Nov04,3.312
10Nov04,3.308
11Nov04,3.313
12Nov04,3.307
15Nov04,3.306
16Nov04,3.303
17Nov04,3.306
18Nov04,3.311
19Nov04,3.311
22Nov04,3.316
23Nov04,3.316
24Nov04,3.314
25Nov04,3.309
26Nov04,3.308
29Nov04,3.306
30Nov04,3.306
01Dic04,3.303
02Dic04,3.302
03Dic04,3.299
06Dic04,3.297
07Dic04,3.299
08Dic04,n.d.
09Dic04,3.301
10Dic04,3.295
13Dic04,3.286
14Dic04,3.275
15Dic04,3.263
16Dic04,3.268
17Dic04,3.27
20Dic04,3.269
21Dic04,3.264
22Dic04,3.269
23Dic04,3.268
24Dic04,3.269
27Dic04,3.271
28Dic04,3.279
29Dic04,3.288
30Dic04,3.282
31Dic04,3.283
03Ene05,3.287
04Ene05,3.279
05Ene05,3.274
06Ene05,3.276
07Ene05,3.277
10Ene05,3.275
11Ene05,3.273
12Ene05,3.268
13Ene05,3.265
14Ene05,3.264
17Ene05,3.259
18Ene05,3.264
19Ene05,3.264
20Ene05,3.27
21Ene05,3.267
24Ene05,3.27
25Ene05,3.27
26Ene05,3.265
27Ene05,3.261
28Ene05,3.259
31Ene05,3.264
01Feb05,3.263
02Feb05,3.261
03Feb05,3.26
04Feb05,3.258
07Feb05,3.264
08Feb05,3.262
09Feb05,3.259
10Feb05,3.26
11Feb05,3.259
14Feb05,3.259
15Feb05,3.26
16Feb05,3.259
17Feb05,3.259
18Feb05,3.262
21Feb05,3.259
22Feb05,3.257
23Feb05,3.258
24Feb05,3.257
25Feb05,3.258
28Feb05,3.259
01Mar05,3.259
02Mar05,3.261
03Mar05,3.262
04Mar05,3.259
07Mar05,3.26
08Mar05,3.259
09Mar05,3.259
10Mar05,3.259
11Mar05,3.258
14Mar05,3.257
15Mar05,3.258
16Mar05,3.263
17Mar05,3.259
18Mar05,3.261
21Mar05,3.26
22Mar05,3.26
23Mar05,3.262
24Mar05,n.d.
25Mar05,n.d.
28Mar05,3.262
29Mar05,3.262
30Mar05,3.262
31Mar05,3.263
01Abr05,3.26
04Abr05,n.d.
05Abr05,3.261
06Abr05,3.26
07Abr05,3.259
08Abr05,3.26
11Abr05,3.261
12Abr05,3.262
13Abr05,3.259
14Abr05,3.258
15Abr05,3.26
18Abr05,3.259
19Abr05,3.258
20Abr05,3.258
21Abr05,3.257
22Abr05,3.257
25Abr05,3.256
26Abr05,3.256
27Abr05,3.258
28Abr05,3.259
29Abr05,3.259
02May05,n.d.
03May05,3.256
04May05,3.258
05May05,3.258
06May05,3.257
09May05,3.257
10May05,3.256
11May05,3.256
12May05,3.255
13May05,3.255
16May05,3.255
17May05,3.255
18May05,3.256
19May05,3.255
20May05,3.255
23May05,3.255
24May05,3.256
25May05,3.255
26May05,3.255
27May05,3.255
30May05,3.256
31May05,3.255
01Jun05,3.254
02Jun05,3.256
03Jun05,3.255
06Jun05,3.255
07Jun05,3.255
08Jun05,3.254
09Jun05,3.253
10Jun05,3.252
13Jun05,3.252
14Jun05,3.251
15Jun05,3.252
16Jun05,3.251
17Jun05,3.251
20Jun05,3.253
21Jun05,3.253
22Jun05,3.253
23Jun05,3.254
24Jun05,3.255
27Jun05,3.254
28Jun05,3.254
29Jun05,n.d.
30Jun05,3.254
01Jul05,3.254
04Jul05,3.252
05Jul05,3.252
06Jul05,3.253
07Jul05,3.251
08Jul05,3.25
11Jul05,3.252
12Jul05,3.251
13Jul05,3.252
14Jul05,3.253
15Jul05,3.253
18Jul05,3.254
19Jul05,3.253
20Jul05,3.254
21Jul05,3.253
22Jul05,3.253
25Jul05,3.253
26Jul05,3.255
27Jul05,3.255
28Jul05,n.d.
29Jul05,n.d.
01Ago05,3.254
02Ago05,3.254
03Ago05,3.254
04Ago05,3.254
05Ago05,3.254
08Ago05,3.252
09Ago05,3.252
10Ago05,3.253
11Ago05,3.252
12Ago05,3.253
15Ago05,3.254
16Ago05,3.253
17Ago05,3.254
18Ago05,3.254
19Ago05,3.255
22Ago05,3.256
23Ago05,3.256
24Ago05,3.258
25Ago05,3.261
26Ago05,3.269
29Ago05,3.286
30Ago05,n.d.
31Ago05,3.286
01Set05,3.279
02Set05,3.297
05Set05,3.322
06Set05,3.321
07Set05,3.297
08Set05,3.299
09Set05,3.292
12Set05,3.285
13Set05,3.29
14Set05,3.29
15Set05,3.295
16Set05,3.296
19Set05,3.304
20Set05,3.302
21Set05,3.305
22Set05,3.321
23Set05,3.321
26Set05,3.32
27Set05,3.321
28Set05,3.333
29Set05,3.35
30Set05,3.345
03Oct05,3.351
04Oct05,3.351
05Oct05,3.361
06Oct05,3.368
07Oct05,3.387
10Oct05,3.366
11Oct05,3.378
12Oct05,3.395
13Oct05,3.393
14Oct05,3.392
17Oct05,3.383
18Oct05,3.388
19Oct05,3.394
20Oct05,3.394
21Oct05,3.392
24Oct05,3.393
25Oct05,3.393
26Oct05,3.391
27Oct05,3.388
28Oct05,3.382
31Oct05,3.38
01Nov05,n.d.
02Nov05,3.369
03Nov05,3.361
04Nov05,3.359
07Nov05,3.359
08Nov05,3.357
09Nov05,3.363
10Nov05,3.362
11Nov05,3.359
14Nov05,3.362
15Nov05,3.364
16Nov05,3.363
17Nov05,3.366
18Nov05,3.379
21Nov05,3.384
22Nov05,3.392
23Nov05,3.389
24Nov05,3.396
25Nov05,3.397
28Nov05,3.41
29Nov05,3.414
30Nov05,3.412
01Dic05,3.417
02Dic05,3.408
05Dic05,3.412
06Dic05,3.412
07Dic05,3.412
08Dic05,n.d.
09Dic05,3.41
12Dic05,3.433
13Dic05,3.441
14Dic05,3.441
15Dic05,3.441
16Dic05,3.441
19Dic05,3.439
20Dic05,3.439
21Dic05,3.439
22Dic05,3.421
23Dic05,3.411
26Dic05,3.411
27Dic05,3.422
28Dic05,3.422
29Dic05,3.428
30Dic05,3.431
02Ene06,3.429
03Ene06,3.43
04Ene06,3.438
05Ene06,3.439
06Ene06,3.442
09Ene06,3.444
10Ene06,3.444
11Ene06,3.445
12Ene06,3.445
13Ene06,3.452
16Ene06,3.443
17Ene06,3.426
18Ene06,3.386
19Ene06,3.357
20Ene06,3.357
23Ene06,3.358
24Ene06,3.336
25Ene06,3.344
26Ene06,3.321
27Ene06,3.317
30Ene06,3.307
31Ene06,3.314
01Feb06,3.31
02Feb06,3.314
03Feb06,3.301
06Feb06,3.293
07Feb06,3.289
08Feb06,3.281
09Feb06,3.287
10Feb06,3.291
13Feb06,3.288
14Feb06,3.289
15Feb06,3.289
16Feb06,3.285
17Feb06,3.284
20Feb06,3.287
21Feb06,3.282
22Feb06,3.28
23Feb06,3.282
24Feb06,3.282
27Feb06,3.285
28Feb06,3.293
01Mar06,3.306
02Mar06,3.335
03Mar06,3.329
06Mar06,3.331
07Mar06,3.333
08Mar06,3.34
09Mar06,3.329
10Mar06,3.331
13Mar06,3.347
14Mar06,3.341
15Mar06,3.335
16Mar06,3.326
17Mar06,3.327
20Mar06,3.352
21Mar06,3.35
22Mar06,3.344
23Mar06,3.36
24Mar06,3.373
27Mar06,3.357
28Mar06,3.347
29Mar06,3.324
30Mar06,3.351
31Mar06,3.358
03Abr06,3.361
04Abr06,3.361
05Abr06,3.373
06Abr06,3.364
07Abr06,3.367
10Abr06,3.323
11Abr06,3.351
12Abr06,3.329
13Abr06,n.d.
14Abr06,n.d.
17Abr06,3.315
18Abr06,3.309
19Abr06,3.312
20Abr06,3.316
21Abr06,3.313
24Abr06,3.318
25Abr06,3.318
26Abr06,3.317
27Abr06,3.322
28Abr06,3.312
01May06,n.d.
02May06,3.303
03May06,3.305
04May06,3.297
05May06,3.292
08May06,3.291
09May06,3.28
10May06,3.282
11May06,3.28
12May06,3.28
15May06,3.276
16May06,3.273
17May06,3.262
18May06,3.261
19May06,3.262
22May06,3.268
23May06,3.265
24May06,3.268
25May06,3.266
26May06,3.271
29May06,3.286
30May06,3.298
31May06,3.2933
01Jun06,3.2786
02Jun06,3.272
05Jun06,3.256
06Jun06,3.257
07Jun06,3.262
08Jun06,3.267
09Jun06,3.261
12Jun06,3.262
13Jun06,3.263
14Jun06,3.264
15Jun06,3.264
16Jun06,3.264
19Jun06,3.264
20Jun06,3.265
21Jun06,3.264
22Jun06,3.264
23Jun06,3.269
26Jun06,3.268
27Jun06,3.268
28Jun06,3.265
29Jun06,n.d.
30Jun06,3.26
03Jul06,3.26
04Jul06,3.258
05Jul06,3.257
06Jul06,3.249
07Jul06,3.24
10Jul06,3.239
11Jul06,3.24
12Jul06,3.24
13Jul06,3.24
14Jul06,3.24
17Jul06,3.24
18Jul06,3.241
19Jul06,3.242
20Jul06,3.24
21Jul06,3.241
24Jul06,3.242
25Jul06,3.24
26Jul06,3.241
27Jul06,3.242
28Jul06,n.d.
31Jul06,3.242
01Ago06,3.242
02Ago06,3.243
03Ago06,3.243
04Ago06,3.241
07Ago06,3.239
08Ago06,3.229
09Ago06,3.23
10Ago06,3.229
11Ago06,3.228
14Ago06,3.229
15Ago06,3.228
16Ago06,3.226
17Ago06,3.226
18Ago06,3.227
21Ago06,3.23
22Ago06,3.234
23Ago06,3.234
24Ago06,3.236
25Ago06,3.24
28Ago06,3.244
29Ago06,3.252
30Ago06,n.d.
31Ago06,3.241
01Set06,3.241
04Set06,3.243
05Set06,3.244
06Set06,3.245
07Set06,3.244
08Set06,3.245
11Set06,3.251
12Set06,3.252
13Set06,3.253
14Set06,3.257
15Set06,3.25
18Set06,3.246
19Set06,3.246
20Set06,3.248
21Set06,3.248
22Set06,3.25
25Set06,3.251
26Set06,3.249
27Set06,3.251
28Set06,3.253
29Set06,3.25
02Oct06,3.25
03Oct06,3.247
04Oct06,3.249
05Oct06,3.25
06Oct06,3.249
09Oct06,3.248
10Oct06,3.245
11Oct06,3.245
12Oct06,3.245
13Oct06,3.246
16Oct06,3.245
17Oct06,3.244
18Oct06,3.244
19Oct06,3.242
20Oct06,3.233
23Oct06,3.221
24Oct06,3.223
25Oct06,3.226
26Oct06,3.228
27Oct06,3.224
30Oct06,3.217
31Oct06,3.216
01Nov06,n.d.
02Nov06,3.211
03Nov06,3.217
06Nov06,3.219
07Nov06,3.218
08Nov06,3.216
09Nov06,3.217
10Nov06,3.219
13Nov06,3.219
14Nov06,3.223
15Nov06,3.231
16Nov06,3.226
17Nov06,3.227
20Nov06,3.226
21Nov06,3.226
22Nov06,3.229
23Nov06,3.226
24Nov06,3.226
27Nov06,3.226
28Nov06,3.226
29Nov06,3.223
30Nov06,3.223
01Dic06,3.218
04Dic06,3.216
05Dic06,3.213
06Dic06,3.214
07Dic06,3.212
08Dic06,n.d.
11Dic06,3.209
12Dic06,3.213
13Dic06,3.211
14Dic06,3.209
15Dic06,3.204
18Dic06,3.204
19Dic06,3.204
20Dic06,3.2
21Dic06,3.198
22Dic06,3.198
25Dic06,n.d.
26Dic06,3.2
27Dic06,3.197
28Dic06,3.197
29Dic06,3.197
01Ene07,n.d.
02Ene07,3.193
03Ene07,3.191
04Ene07,3.192
05Ene07,3.192
08Ene07,3.192
09Ene07,3.192
10Ene07,3.194
11Ene07,3.193
12Ene07,3.191
15Ene07,3.193
16Ene07,3.19
17Ene07,3.189
18Ene07,3.188
19Ene07,3.189
22Ene07,3.189
23Ene07,3.191
24Ene07,3.194
25Ene07,3.195
26Ene07,3.198
29Ene07,3.2
30Ene07,3.202
31Ene07,3.199
01Feb07,3.197
02Feb07,3.195
05Feb07,3.195
06Feb07,3.194
07Feb07,3.191
08Feb07,3.19
09Feb07,3.192
12Feb07,3.193
13Feb07,3.192
14Feb07,3.19
15Feb07,3.189
16Feb07,3.187
19Feb07,3.188
20Feb07,3.189
21Feb07,3.189
22Feb07,3.189
23Feb07,3.189
26Feb07,3.187
27Feb07,3.189
28Feb07,3.19
01Mar07,3.191
02Mar07,3.189
05Mar07,3.189
06Mar07,3.188
07Mar07,3.187
08Mar07,3.187
09Mar07,3.187
12Mar07,3.186
13Mar07,3.186
14Mar07,3.185
15Mar07,3.185
16Mar07,3.186
19Mar07,3.188
20Mar07,3.187
21Mar07,3.187
22Mar07,3.186
23Mar07,3.185
26Mar07,3.183
27Mar07,3.182
28Mar07,3.184
29Mar07,3.184
30Mar07,3.184
02Abr07,3.183
03Abr07,3.182
04Abr07,3.181
05Abr07,n.d.
06Abr07,n.d.
09Abr07,3.181
10Abr07,3.182
11Abr07,3.182
12Abr07,3.181
13Abr07,3.181
16Abr07,3.18
17Abr07,3.178
18Abr07,3.178
19Abr07,3.178
20Abr07,3.178
23Abr07,3.179
24Abr07,3.177
25Abr07,3.176
26Abr07,3.174
27Abr07,3.172
30Abr07,3.172
01May07,n.d.
02May07,3.172
03May07,3.172
04May07,3.166
07May07,3.168
08May07,3.167
09May07,3.166
10May07,3.168
11May07,3.169
14May07,3.169
15May07,3.166
16May07,3.165
17May07,3.162
18May07,3.158
21May07,3.163
22May07,3.164
23May07,3.166
24May07,3.169
25May07,3.17
28May07,3.173
29May07,3.173
30May07,3.176
31May07,3.175
01Jun07,3.172
04Jun07,3.171
05Jun07,3.169
06Jun07,3.17
07Jun07,3.173
08Jun07,3.175
11Jun07,3.171
12Jun07,3.173
13Jun07,3.171
14Jun07,3.172
15Jun07,3.169
18Jun07,3.168
19Jun07,3.168
20Jun07,3.167
21Jun07,3.169
22Jun07,3.171
25Jun07,3.172
26Jun07,3.172
27Jun07,3.171
28Jun07,3.169
29Jun07,n.d.
02Jul07,3.168
03Jul07,3.167
04Jul07,3.166
05Jul07,3.165
06Jul07,3.165
09Jul07,3.164
10Jul07,3.161
11Jul07,3.159
12Jul07,3.158
13Jul07,3.158
16Jul07,3.16
17Jul07,3.159
18Jul07,3.158
19Jul07,3.158
20Jul07,3.158
23Jul07,3.158
24Jul07,3.157
25Jul07,3.159
26Jul07,3.164
27Jul07,3.164
30Jul07,3.164
31Jul07,3.161
01Ago07,3.16
02Ago07,3.159
03Ago07,3.159
06Ago07,3.158
07Ago07,3.156
08Ago07,3.152
09Ago07,3.153
10Ago07,3.149
13Ago07,3.153
14Ago07,3.146
15Ago07,3.145
16Ago07,3.166
17Ago07,3.161
20Ago07,3.156
21Ago07,3.168
22Ago07,3.166
23Ago07,3.163
24Ago07,3.165
27Ago07,3.164
28Ago07,3.166
29Ago07,3.165
30Ago07,n.d.
31Ago07,3.163
03Set07,3.163
04Set07,3.163
05Set07,3.165
06Set07,3.166
07Set07,3.162
10Set07,3.162
11Set07,3.16
12Set07,3.155
13Set07,3.145
14Set07,3.138
17Set07,3.139
18Set07,3.132
19Set07,3.126
20Set07,3.121
21Set07,3.113
24Set07,3.115
25Set07,3.113
26Set07,3.106
27Set07,3.098
28Set07,3.087
01Oct07,3.065
02Oct07,3.044
03Oct07,3.026
04Oct07,3.021
05Oct07,3.021
08Oct07,n.d.
09Oct07,3.019
10Oct07,3.017
11Oct07,3.012
12Oct07,3.015
15Oct07,3.017
16Oct07,3.021
17Oct07,3.018
18Oct07,3.022
19Oct07,3.023
22Oct07,3.022
23Oct07,3.019
24Oct07,3.02
25Oct07,3.018
26Oct07,3.015
29Oct07,3.012
30Oct07,3.002
31Oct07,2.998
01Nov07,n.d.
02Nov07,3
05Nov07,3.002
06Nov07,3.006
07Nov07,3.005
08Nov07,3.003
09Nov07,2.995
12Nov07,2.994
13Nov07,2.992
14Nov07,2.997
15Nov07,2.997
16Nov07,2.997
19Nov07,2.999
20Nov07,2.999
21Nov07,3.005
22Nov07,3.004
